window_id,case_id,label,failure_reason
1,1,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
2,3,FAIL,"negative_values,spikes,saturation"
3,4,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
4,7,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
5,10,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
6,13,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
7,14,FAIL,"negative_values,spikes,saturation"
8,16,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
9,17,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
10,19,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
11,20,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
12,22,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
13,24,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
14,25,FAIL,"extended_flatline,PP_violation,MAP_violation"
15,26,FAIL,"extended_flatline,PP_violation,MAP_violation"
16,27,FAIL,"extended_flatline,PP_violation,MAP_violation"
17,28,FAIL,"extended_flatline,PP_violation,MAP_violation"
18,29,FAIL,"extended_flatline,PP_violation,MAP_violation"
19,31,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
20,32,FAIL,"negative_values,extended_flatline,saturation"
21,34,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
22,38,FAIL,"extended_flatline,PP_violation,MAP_violation"
23,43,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
24,44,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
25,46,FAIL,"extended_flatline,PP_violation,MAP_violation"
26,49,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
27,50,FAIL,"negative_values,spikes,saturation"
28,51,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
29,52,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
30,53,FAIL,"negative_values,extended_flatline,saturation"
31,55,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
32,58,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
33,59,FAIL,"extended_flatline,PP_violation,MAP_violation"
34,60,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
35,61,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
36,64,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
37,65,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
38,66,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
39,67,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
40,68,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
41,69,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
42,70,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
43,74,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
44,75,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
45,77,FAIL,extended_flatline
46,79,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
47,83,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
48,84,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
49,87,PASS,none
50,89,FAIL,extended_flatline
51,91,FAIL,"negative_values,extended_flatline,saturation"
52,92,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
53,93,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
54,94,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
55,96,FAIL,"negative_values,saturation"
56,97,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
57,98,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
58,101,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,spikes,saturation"
59,103,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
60,104,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
61,105,FAIL,"negative_values,extended_flatline,saturation"
62,108,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
63,110,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
64,111,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
65,112,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
66,114,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,spikes,saturation"
67,115,FAIL,"negative_values,extended_flatline,saturation"
68,116,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
69,117,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
70,118,FAIL,"negative_values,spikes,saturation"
71,119,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
72,124,FAIL,extended_flatline
73,125,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
74,126,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
75,128,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
76,130,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
77,132,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
78,135,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
79,136,FAIL,"extended_flatline,PP_violation,MAP_violation"
80,137,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
81,138,FAIL,"extended_flatline,PP_violation,MAP_violation"
82,139,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
83,140,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
84,142,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
85,143,FAIL,"negative_values,PP_violation,MAP_violation,spikes,saturation"
86,145,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
87,146,FAIL,"extended_flatline,PP_violation,MAP_violation"
88,148,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
89,149,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
90,150,FAIL,"negative_values,extended_flatline,saturation"
91,152,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
92,153,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
93,156,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
94,157,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
95,160,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
96,161,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
97,163,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
98,164,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
99,166,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,spikes,saturation"
100,167,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
101,168,FAIL,extended_flatline
102,172,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
103,175,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
104,177,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
105,178,FAIL,"extended_flatline,PP_violation,MAP_violation"
106,180,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
107,181,FAIL,"negative_values,spikes,saturation"
108,183,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
109,184,FAIL,extended_flatline
110,185,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
111,186,FAIL,"extended_flatline,PP_violation,MAP_violation"
112,189,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
113,190,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
114,191,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
115,195,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
116,197,FAIL,"extended_flatline,PP_violation,MAP_violation"
117,198,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
118,199,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
119,200,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
120,202,FAIL,"extended_flatline,PP_violation,MAP_violation"
121,203,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
122,206,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
123,207,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
124,208,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
125,210,FAIL,"negative_values,extended_flatline,saturation"
126,217,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
127,218,FAIL,"negative_values,extended_flatline,saturation"
128,221,FAIL,"extended_flatline,PP_violation,MAP_violation"
129,222,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
130,229,FAIL,"extended_flatline,PP_violation,MAP_violation"
131,230,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
132,232,FAIL,"extended_flatline,PP_violation,MAP_violation"
133,233,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
134,234,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
135,236,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
136,237,FAIL,"extended_flatline,PP_violation,MAP_violation"
137,239,FAIL,"extended_flatline,PP_violation,MAP_violation"
138,242,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
139,243,FAIL,"extended_flatline,PP_violation,MAP_violation"
140,244,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
141,246,FAIL,"extended_flatline,MAP_violation"
142,247,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
143,250,PASS,none
144,251,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
145,252,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
146,256,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
147,258,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
148,261,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
149,263,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
150,264,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
151,266,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
152,268,PASS,none
153,269,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
154,270,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
155,272,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation,missing_data"
156,279,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
157,280,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
158,281,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
159,282,FAIL,"extended_flatline,PP_violation,MAP_violation"
160,283,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
161,286,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
162,287,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
163,293,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
164,295,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
165,297,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
166,300,FAIL,"negative_values,extended_flatline,PP_violation,saturation"
167,302,FAIL,"negative_values,spikes,saturation"
168,303,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
169,304,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
170,306,FAIL,"extended_flatline,MAP_violation"
171,308,FAIL,"extended_flatline,PP_violation,MAP_violation"
172,309,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
173,312,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
174,316,PASS,none
175,318,PASS,none
176,319,FAIL,"extended_flatline,PP_violation,MAP_violation"
177,321,FAIL,"PP_violation,MAP_violation"
178,324,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
179,325,FAIL,"extended_flatline,PP_violation,MAP_violation"
180,326,FAIL,"negative_values,spikes,saturation"
181,332,FAIL,"extended_flatline,PP_violation,MAP_violation"
182,337,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
183,338,FAIL,"negative_values,extended_flatline,PP_violation,saturation"
184,342,FAIL,"extended_flatline,PP_violation,MAP_violation"
185,343,FAIL,"extended_flatline,MAP_violation"
186,345,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
187,347,FAIL,extended_flatline
188,348,FAIL,"extended_flatline,PP_violation,MAP_violation"
189,349,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
190,353,FAIL,"negative_values,extended_flatline,MAP_violation,saturation"
191,354,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
192,355,FAIL,"negative_values,extended_flatline,PP_violation,saturation"
193,357,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
194,359,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
195,362,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
196,363,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
197,364,FAIL,"extended_flatline,PP_violation,MAP_violation"
198,366,FAIL,"negative_values,extended_flatline,PP_violation,saturation"
199,367,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
200,368,FAIL,"extended_flatline,PP_violation,MAP_violation"
201,369,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
202,370,FAIL,"extended_flatline,PP_violation,MAP_violation"
203,375,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
204,377,FAIL,"negative_values,extended_flatline,saturation"
205,380,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
206,381,FAIL,"negative_values,spikes,saturation"
207,382,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
208,383,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
209,384,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
210,385,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
211,386,FAIL,"negative_values,extended_flatline,saturation"
212,387,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
213,388,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
214,390,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
215,397,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
216,398,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
217,402,FAIL,"extended_flatline,PP_violation,MAP_violation"
218,404,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
219,405,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
220,406,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
221,408,FAIL,"extended_flatline,PP_violation,MAP_violation"
222,409,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
223,413,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
224,415,FAIL,"extended_flatline,PP_violation,MAP_violation"
225,416,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
226,417,FAIL,"extended_flatline,PP_violation,MAP_violation"
227,418,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
228,419,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
229,424,FAIL,"negative_values,spikes,saturation"
230,425,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation,missing_data"
231,427,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
232,431,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
233,435,FAIL,"extended_flatline,PP_violation,MAP_violation"
234,438,FAIL,"negative_values,extended_flatline,saturation"
235,439,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
236,440,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
237,441,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
238,442,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
239,445,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
240,447,FAIL,"extended_flatline,PP_violation,MAP_violation"
241,448,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
242,449,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
243,451,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
244,452,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
245,455,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
246,458,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
247,460,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
248,462,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
249,463,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
250,464,PASS,none
251,466,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
252,468,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
253,469,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
254,472,FAIL,"extended_flatline,PP_violation,MAP_violation"
255,474,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
256,476,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
257,477,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
258,478,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
259,481,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
260,483,FAIL,"negative_values,extended_flatline,saturation"
261,484,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
262,485,FAIL,extended_flatline
263,486,FAIL,"extended_flatline,PP_violation,MAP_violation"
264,488,FAIL,"extended_flatline,PP_violation,MAP_violation,saturation"
265,489,FAIL,"negative_values,spikes,saturation"
266,490,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
267,492,FAIL,"extended_flatline,PP_violation,MAP_violation"
268,495,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
269,497,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation,saturation"
270,499,FAIL,"negative_values,extended_flatline,PP_violation,MAP_violation"
